# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
2.331399711227013505e+00 -6.352705410821642973e-01 4.440892098500626162e-16 2.508037260701580551e-05 5.016074521403161103e-05 5.008030811308553445e-03 1.001606162261710689e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961469148373120294e-02 5.922938296746240588e-02 1.720891963016016879e-01 3.441783926032033758e-01
0.000000000000000000e+00 -6.212424849699398344e-01 4.440892098500626162e-16 2.501139326459649083e-05 5.002278652919298166e-05 5.001139196682741206e-03 1.000227839336548241e-02 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961462250438878438e-02 5.922924500877756876e-02 1.720889958840738365e-01 3.441779917681476730e-01
0.000000000000000000e+00 -6.072144288577154825e-01 4.440892098500626162e-16 2.494241392217717954e-05 4.988482784435435908e-05 4.994238072236562888e-03 9.988476144473125776e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961455352504636582e-02 5.922910705009273163e-02 1.720887954663125885e-01 3.441775909326251770e-01
1.139234703713363883e+00 -5.931863727454909085e-01 4.440892098500626162e-16 2.487343457975786824e-05 4.974686915951573649e-05 4.987327398492891195e-03 9.974654796985782390e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961448454570394725e-02 5.922896909140789451e-02 1.720885950483179161e-01 3.441771900966358322e-01
0.000000000000000000e+00 -5.791583166332665567e-01 4.440892098500626162e-16 2.480445523733856034e-05 4.960891047467712068e-05 4.980407135700711148e-03 9.960814271401422296e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961441556636152522e-02 5.922883113272305045e-02 1.720883946300898193e-01 3.441767892601796386e-01
0.000000000000000000e+00 -5.651302605210420937e-01 4.440892098500626162e-16 2.473547589491924904e-05 4.947095178983849809e-05 4.973477243832452946e-03 9.946954487664905892e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961434658701910666e-02 5.922869317403821332e-02 1.720881942116283259e-01 3.441763884232566517e-01
2.881307264552379066e-01 -5.511022044088176308e-01 4.440892098500626162e-16 2.466649655249993436e-05 4.933299310499986872e-05 4.966537682581290136e-03 9.933075365162580272e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961427760767668810e-02 5.922855521535337620e-02 1.720879937929334080e-01 3.441759875858668161e-01
0.000000000000000000e+00 -5.370741482965931679e-01 4.440892098500626162e-16 2.459751721008062307e-05 4.919503442016124613e-05 4.959588411358408291e-03 9.919176822716816583e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961420862833426954e-02 5.922841725666853907e-02 1.720877933740050936e-01 3.441755867480101871e-01
0.000000000000000000e+00 -5.230460921843687050e-01 4.440892098500626162e-16 2.452853786766129483e-05 4.905707573532258966e-05 4.952629389290227717e-03 9.905258778580455434e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961413964899185097e-02 5.922827929798370195e-02 1.720875929548433547e-01 3.441751859096867094e-01
0.000000000000000000e+00 -5.090180360721443531e-01 4.440892098500626162e-16 2.445955852524198693e-05 4.891911705048397385e-05 4.945660575215608812e-03 9.891321150431217624e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961407066964942894e-02 5.922814133929885788e-02 1.720873925354481915e-01 3.441747850708963830e-01
0.000000000000000000e+00 -4.949899799599197792e-01 4.440892098500626162e-16 2.439057918282267563e-05 4.878115836564535126e-05 4.938681927683000183e-03 9.877363855366000367e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961400169030701038e-02 5.922800338061402076e-02 1.720871921158196316e-01 3.441743842316392632e-01
5.763014085674598164e-01 -4.809619238476954273e-01 4.440892098500626162e-16 2.432159984040336434e-05 4.864319968080672868e-05 4.931693404947571149e-03 9.863386809895142299e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961393271096459182e-02 5.922786542192918363e-02 1.720869916959576473e-01 3.441739833919152947e-01
9.742619986271466859e-01 -4.669338677354709644e-01 4.440892098500626162e-16 2.425262049798405643e-05 4.850524099596811286e-05 4.924694964968293065e-03 9.849389929936586130e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961386373162217325e-02 5.922772746324434651e-02 1.720867912758622387e-01 3.441735825517244773e-01
2.463553802080919120e+00 -4.529058116232465014e-01 4.440892098500626162e-16 2.418364115556472820e-05 4.836728231112945639e-05 4.917686565404990294e-03 9.835373130809980588e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961379475227975122e-02 5.922758950455950244e-02 1.720865908555334056e-01 3.441731817110668112e-01
0.000000000000000000e+00 -4.388777555110220385e-01 4.440892098500626162e-16 2.411466181314541690e-05 4.822932362629083381e-05 4.910668163615356484e-03 9.821336327230712968e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961372577293733266e-02 5.922745154587466532e-02 1.720863904349711482e-01 3.441727808699422964e-01
2.384913083324001093e+00 -4.248496993987975756e-01 4.440892098500626162e-16 2.404568247072610561e-05 4.809136494145221122e-05 4.903639716651917932e-03 9.807279433303835864e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961365679359491410e-02 5.922731358718982819e-02 1.720861900141754941e-01 3.441723800283509882e-01
0.000000000000000000e+00 -4.108216432865731127e-01 4.440892098500626162e-16 2.397670312830679770e-05 4.795340625661359541e-05 4.896601181258976136e-03 9.793202362517952272e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961358781425249553e-02 5.922717562850499107e-02 1.720859895931464156e-01 3.441719791862928313e-01
0.000000000000000000e+00 -3.967935871743486498e-01 4.440892098500626162e-16 2.390772378588748641e-05 4.781544757177497282e-05 4.889552513869493966e-03 9.779105027738987932e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961351883491007697e-02 5.922703766982015394e-02 1.720857891718839128e-01 3.441715783437678255e-01
1.765983268522226757e+00 -3.827655310621242979e-01 4.440892098500626162e-16 2.383874444346817173e-05 4.767748888693634345e-05 4.882493670601956680e-03 9.764987341203913360e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961344985556765494e-02 5.922689971113530988e-02 1.720855887503879578e-01 3.441711775007759155e-01
0.000000000000000000e+00 -3.687374749498998350e-01 4.440892098500626162e-16 2.376976510104886043e-05 4.753953020209772086e-05 4.875424607257183504e-03 9.750849214514367008e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961338087622523638e-02 5.922676175245047275e-02 1.720853883286586061e-01 3.441707766573172123e-01
0.000000000000000000e+00 -3.547094188376753721e-01 4.440892098500626162e-16 2.370078575862954914e-05 4.740157151725909828e-05 4.868345279315093241e-03 9.736690558630186482e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961331189688281781e-02 5.922662379376563563e-02 1.720851879066958579e-01 3.441703758133917157e-01
0.000000000000000000e+00 -3.406813627254509091e-01 4.440892098500626162e-16 2.363180641621022768e-05 4.726361283242045536e-05 4.861255641931436916e-03 9.722511283862873832e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961324291754039925e-02 5.922648583508079850e-02 1.720849874844996574e-01 3.441699749689993149e-01
