X	y	y_std
2.899999999999973710e+00	4.108328357244541706e-01	2.532420520859077206e-01
2.949999999999973532e+00	3.894829828417309403e-01	2.564016693037889372e-01
2.999999999999973355e+00	3.686498203717332722e-01	2.597922938739877230e-01
3.049999999999973177e+00	3.483729259400574207e-01	2.633886262601728423e-01
3.099999999999972999e+00	3.286866452235220892e-01	2.671628899605802965e-01
3.149999999999972822e+00	3.096202249767894266e-01	2.710856055614759841e-01
3.199999999999972644e+00	2.911979742179043873e-01	2.751263331568220005e-01
3.249999999999972466e+00	2.734394504675460857e-01	2.792543592708819356e-01
3.299999999999972289e+00	2.563596678821837282e-01	2.834393118101929954e-01
3.349999999999972111e+00	2.399693241047617942e-01	2.876516933509086216e-01
3.399999999999971934e+00	2.242750426760592442e-01	2.918633288020759942e-01
3.449999999999971756e+00	2.092796279030819662e-01	2.960477279891732816e-01
3.499999999999971578e+00	1.949823291650376600e-01	3.001803669797896701e-01
3.549999999999972289e+00	1.813791117496590388e-01	3.042388941525281942e-01
3.599999999999971223e+00	1.684629314496739194e-01	3.082032682820172731e-01
3.649999999999970157e+00	1.562240103077403852e-01	3.120558364855417488e-01
3.699999999999970868e+00	1.446501110747800967e-01	3.157813599458230702e-01
3.749999999999971578e+00	1.337268081378486240e-01	3.193669950565605209e-01
3.799999999999970512e+00	1.234377528761266135e-01	3.228022371643756161e-01
3.849999999999969447e+00	1.137649316139141276e-01	3.260788335005430083e-01
3.899999999999970157e+00	1.046889145544664945e-01	3.291906712762878162e-01
3.949999999999970868e+00	9.618909429506872222e-02	3.321336463003883854e-01
3.999999999999969802e+00	8.824391273906459499e-02	3.349055168930260007e-01
4.049999999999968736e+00	8.083107543202801282e-02	3.375057473280330123e-01
4.099999999999969447e+00	7.392775255451237981e-02	3.399353445409372121e-01
4.149999999999970157e+00	6.751076600075869849e-02	3.421966913912006247e-01
4.199999999999969091e+00	6.155676215958579001e-02	3.442933793595048808e-01
4.249999999999968026e+00	5.604237018889677430e-02	3.462300431893107211e-01
4.299999999999968736e+00	5.094434573760334845e-02	3.480121996405093343e-01
4.349999999999969447e+00	4.623970021732570768e-02	3.496460922065792176e-01
4.399999999999968381e+00	4.190581586033301220e-02	3.511385433509904286e-01
4.449999999999967315e+00	3.792054691941405126e-02	3.524968155404056835e-01
