X	y
-1.259999999999999343e+00	7.730660072939445002e-29
-1.249999999999999334e+00	1.280900697675960884e-28
-1.239999999999999325e+00	2.118126136260676416e-28
-1.229999999999999316e+00	3.495633234690768656e-28
-1.219999999999999307e+00	5.757550947906126120e-28
-1.209999999999999298e+00	9.464284973037464296e-28
-1.199999999999999289e+00	1.552659088860468274e-27
-1.189999999999999281e+00	2.542159998711909550e-27
-1.179999999999999272e+00	4.154017309207004298e-27
-1.169999999999999263e+00	6.774426690138064526e-27
-1.159999999999999254e+00	1.102594406509717043e-26
-1.149999999999999245e+00	1.791010679263642295e-26
-1.139999999999999236e+00	2.903486912970810809e-26
-1.129999999999999227e+00	4.697653981185638947e-26
-1.119999999999999218e+00	7.585457343000076225e-26
-1.109999999999999210e+00	1.222425058710539458e-25
-1.099999999999999201e+00	1.966086274184125789e-25
-1.089999999999999192e+00	3.155897367687540400e-25
-1.079999999999999183e+00	5.055722816190991911e-25
-1.069999999999999174e+00	8.083209378876451644e-25
-1.059999999999999165e+00	1.289806874759483720e-24
-1.049999999999999156e+00	2.054025931439416375e-24
-1.039999999999999147e+00	3.264582249841657646e-24
-1.029999999999999138e+00	5.178331401959123810e-24
-1.019999999999999130e+00	8.197712203460036244e-24
-1.009999999999999121e+00	1.295197969491539776e-23
-9.999999999999991118e-01	2.042303848509198481e-23
-9.899999999999991029e-01	3.213995876358325239e-23
-9.799999999999990941e-01	5.047903815371928549e-23
-9.699999999999990852e-01	7.912571614444660513e-23
-9.599999999999990763e-01	1.237841634383507335e-22
-9.499999999999990674e-01	1.932650766413130126e-22
-9.399999999999990585e-01	3.011497825348966041e-22
-9.299999999999990496e-01	4.683306686968919500e-22
-9.199999999999990408e-01	7.268813243910894577e-22
-9.099999999999990319e-01	1.125940074482455520e-21
-8.999999999999990230e-01	1.740635657027460096e-21
-8.899999999999990141e-01	2.685599700063123232e-21
-8.799999999999990052e-01	4.135380289837684595e-21
-8.699999999999989964e-01	6.355216572245603838e-21
-8.599999999999989875e-01	9.747335964083021952e-21
-8.499999999999989786e-01	1.492045745320103954e-20
-8.399999999999989697e-01	2.279391384294654975e-20
-8.299999999999989608e-01	3.475330866055736992e-20
-8.199999999999989519e-01	5.288272530851564972e-20
-8.099999999999989431e-01	8.031040810788539999e-20
-7.999999999999989342e-01	1.217222810799561782e-19
-7.899999999999989253e-01	1.841231866344940081e-19
-7.799999999999989164e-01	2.779629631791786947e-19
-7.699999999999989075e-01	4.187987011886805016e-19
-7.599999999999988987e-01	6.297432923728367051e-19
-7.499999999999988898e-01	9.450645815810227989e-19
-7.399999999999988809e-01	1.415464603075716404e-18
-7.299999999999988720e-01	2.115806754852652165e-18
-7.199999999999988631e-01	3.156402008007366323e-18
-7.099999999999988542e-01	4.699458393579290957e-18
-6.999999999999988454e-01	6.983004932617288353e-18
-6.899999999999988365e-01	1.035561227067246633e-17
-6.799999999999988276e-01	1.532667516632478772e-17
-6.699999999999988187e-01	2.263907641720396189e-17
-6.599999999999988098e-01	3.337397036612724553e-17
-6.499999999999988010e-01	4.910156088488819308e-17
-6.399999999999987921e-01	7.209759884316022445e-17
-6.299999999999987832e-01	1.056535783492588303e-16
-6.199999999999987743e-01	1.545202309682530296e-16
-6.099999999999987654e-01	2.255402376314452492e-16
-5.999999999999987566e-01	3.285489480877260522e-16
-5.899999999999987477e-01	4.776538724171096259e-16
-5.799999999999987388e-01	6.930483099974362013e-16
-5.699999999999987299e-01	1.003576550812610213e-15
-5.599999999999987210e-01	1.450354264361180450e-15
-5.499999999999987121e-01	2.091867071343106239e-15
-5.399999999999987033e-01	3.011135278318034084e-15
-5.299999999999986944e-01	4.325760236707346117e-15
-5.199999999999986855e-01	6.201980706249884357e-15
-5.099999999999986766e-01	8.874297040682256213e-15
-4.999999999999986677e-01	1.267280897426176771e-14
-4.899999999999986589e-01	1.806121589510531649e-14
-4.799999999999986500e-01	2.568952288315745961e-14
-4.699999999999986411e-01	3.646698358593757157e-14
-4.599999999999986322e-01	5.166282882154124133e-14
-4.499999999999986233e-01	7.304505993931652278e-14
-4.399999999999986144e-01	1.030712710776306922e-13
-4.299999999999986056e-01	1.451504266572427615e-13
-4.199999999999985967e-01	2.040011862641322801e-13
-4.099999999999985878e-01	2.861413018052787463e-13
-3.999999999999985789e-01	4.005545534451559523e-13
-3.899999999999985700e-01	5.595976161190968260e-13
-3.799999999999985612e-01	7.802304345764318550e-13
-3.699999999999985523e-01	1.085681800950294313e-12
-3.599999999999985434e-01	1.507699049974106767e-12
-3.499999999999985345e-01	2.089579940404719879e-12
-3.399999999999985256e-01	2.890249541750198849e-12
-3.299999999999985167e-01	3.989730030512734508e-12
-3.199999999999985079e-01	5.496462827173668892e-12
-3.099999999999984990e-01	7.557088325567052813e-12
-2.999999999999984901e-01	1.036947864576582237e-11
-2.899999999999984812e-01	1.420006624812759384e-11
-2.799999999999984723e-01	1.940683228368658724e-11
