X	y	y_std
3.499999999999971578e+00	-8.920104254995253612e-02	2.611370662032916345e-01
3.549999999999972289e+00	-1.187272986656489060e-01	2.700332040304637138e-01
3.599999999999971223e+00	-1.472090818803342138e-01	2.794681625353403476e-01
3.649999999999970157e+00	-1.745957307736922814e-01	2.894119550013509734e-01
3.699999999999970868e+00	-2.008414703351841801e-01	2.998310237311609394e-01
3.749999999999971578e+00	-2.259054761980436865e-01	3.106889663443266336e-01
3.799999999999970512e+00	-2.497519175120137547e-01	3.219472066363204821e-01
3.849999999999969447e+00	-2.723499783369360827e-01	3.335655990987550501e-01
3.899999999999970157e+00	-2.936738575592512390e-01	3.455029635041444447e-01
3.949999999999970868e+00	-3.137027474567757324e-01	3.577175511427046484e-01
3.999999999999969802e+00	-3.324207911627752310e-01	3.701674475772506745e-01
4.049999999999968736e+00	-3.498170194065397531e-01	3.828109185223615984e-01
4.099999999999969447e+00	-3.658852670332883861e-01	3.956067060602534435e-01
4.149999999999970157e+00	-3.806240699303744535e-01	4.085142822491941161e-01
4.199999999999969091e+00	-3.940365431066856772e-01	4.214940665647866624e-01
4.249999999999968026e+00	-4.061302407885611920e-01	4.345076127677180988e-01
4.299999999999968736e+00	-4.169169995049850641e-01	4.475177698721775066e-01
4.349999999999969447e+00	-4.264127652380316214e-01	4.604888209977799352e-01
4.399999999999968381e+00	-4.346374058089206294e-01	4.733866030827891258e-01
4.449999999999967315e+00	-4.416145097556247734e-01	4.861786097450485622e-01
