# Y X drop drop_diff a0 a1
1.029411764705882470e+00 1.470588235294117696e-01 3.671637487212553452e-04 -1.466916597806905143e-01 2.951594540819962309e-01 6.472994354487606739e-01
1.176470588235294157e+00 1.470588235294117696e-01 5.303799155789157282e-04 -1.465284436138328539e-01 3.104191261042036909e-01 6.434645825641222006e-01
1.323529411764705843e+00 1.470588235294117696e-01 -4.309288985608894507e-04 -1.474897524279726591e-01 3.269921771422263923e-01 6.347562142002365349e-01
1.470588235294117752e+00 1.470588235294117696e-01 3.982862532774245068e-04 -1.466605372761343451e-01 3.451362508249330996e-01 6.219167777937936181e-01
1.617647058823529438e+00 1.470588235294117696e-01 -5.473903947872393871e-04 -1.476062139241990090e-01 3.643124057461299414e-01 6.062237749209464788e-01
1.764705882352941124e+00 1.470588235294117696e-01 6.176897328029617995e-04 -1.464411337966088078e-01 3.845155685312717231e-01 5.881207819996504549e-01
1.911764705882353033e+00 1.470588235294117696e-01 -5.529367034236010170e-04 -1.476117602328353706e-01 4.051071755419889397e-01 5.685517120473809749e-01
2.058823529411764941e+00 1.470588235294117696e-01 5.471900584326228056e-04 -1.465116334709791468e-01 4.253620057588521908e-01 5.483825956249706035e-01
2.205882352941176627e+00 1.470588235294117696e-01 -1.273543646318486822e-05 -1.470715589658749545e-01 4.449855285310591047e-01 5.280353276118423533e-01
2.352941176470588314e+00 1.470588235294117696e-01 4.103338673060452635e-04 -1.466484896621057243e-01 4.629507526916988303e-01 5.085005694948498967e-01
2.500000000000000000e+00 1.470588235294117696e-01 -9.837683409794628631e-04 -1.480425918703912325e-01 4.783691202387324037e-01 4.906515519563053318e-01
2.647058823529411686e+00 1.470588235294117696e-01 -1.266391797227761629e-04 -1.471854627091345458e-01 4.906376794180533629e-01 4.749811225194357500e-01
2.794117647058823817e+00 1.470588235294117696e-01 5.411845629232914234e-04 -1.465176389664884782e-01 4.991430153139729820e-01 4.619701088866799976e-01
2.941176470588235503e+00 1.470588235294117696e-01 -6.540130814527422842e-04 -1.477128366108645119e-01 5.029204891600832505e-01 4.523361304980353936e-01
