# X mu
1.433832706919801747e-01 1.578947368421052544e-01
1.481547605652573929e-01 1.578947368421052544e-01
1.529262504385346111e-01 1.578947368421052544e-01
1.576977403118118015e-01 1.568922305764410829e-01
1.624692301850890197e-01 1.558897243107769115e-01
1.672407200583662379e-01 1.538847117794486241e-01
1.720122099316434561e-01 1.518796992481202812e-01
1.767836998049206465e-01 -1.754385964912283380e-02
1.815551896781978647e-01 -1.754385964912283380e-02
1.863266795514750829e-01 -1.754385964912283380e-02
1.910981694247523011e-01 -1.654135338345866235e-02
1.958696592980294915e-01 -1.654135338345866235e-02
2.006411491713067097e-01 -1.654135338345866235e-02
2.054126390445839279e-01 -1.854636591478697749e-02
2.101841289178611183e-01 -2.155388471177946408e-02
2.149556187911383365e-01 -5.964912280701756275e-02
2.197271086644155547e-01 -3.358395989974938267e-02
2.244985985376927728e-01 -3.057644110275689608e-02
2.292700884109699633e-01 -2.957393483709275239e-02
2.340415782842471815e-01 -2.957393483709275239e-02
2.388130681575243996e-01 -2.857142857142858094e-02
2.435845580308016178e-01 -2.857142857142858094e-02
2.483560479040788083e-01 -2.957393483709275239e-02
2.531275377773560264e-01 -3.057644110275689608e-02
2.578990276506332169e-01 -3.258145363408523898e-02
2.626705175239104628e-01 -3.458646616541355412e-02
2.674420073971876533e-01 -3.558897243107769781e-02
2.722134972704648437e-01 -3.659147869674186926e-02
2.769849871437420896e-01 -3.759398496240604071e-02
2.817564770170192801e-01 -3.859649122807018440e-02
2.865279668902965260e-01 9.573934837092729078e-02
2.912994567635737164e-01 9.774436090225563367e-02
2.960709466368509069e-01 9.774436090225563367e-02
3.008424365101281528e-01 9.774436090225563367e-02
3.056139263834053432e-01 9.874686716791980512e-02
3.103854162566825337e-01 1.007518796992480925e-01
3.151569061299597796e-01 1.017543859649122640e-01
3.199283960032369700e-01 1.017543859649122640e-01
3.246998858765141605e-01 1.017543859649122640e-01
3.294713757497914064e-01 1.027568922305764354e-01
3.342428656230685968e-01 -6.516290726817058898e-03
3.390143554963458428e-01 1.127819548872180389e-01
3.437858453696230332e-01 1.137844611528822103e-01
3.485573352429002236e-01 1.137844611528822103e-01
3.533288251161774696e-01 1.137844611528822103e-01
3.581003149894546600e-01 1.127819548872180389e-01
3.628718048627318504e-01 1.127819548872180389e-01
3.676432947360090964e-01 1.137844611528822103e-01
3.724147846092862868e-01 1.137844611528822103e-01
3.771862744825634772e-01 1.127819548872180389e-01
3.819577643558407232e-01 1.137844611528822103e-01
3.867292542291179136e-01 1.137844611528822103e-01
3.915007441023951595e-01 1.127819548872180389e-01
3.962722339756723500e-01 -5.513784461152887451e-03
4.010437238489495404e-01 -4.511278195488743759e-03
4.058152137222267863e-01 -4.511278195488743759e-03
4.105867035955039768e-01 -4.511278195488743759e-03
4.153581934687811672e-01 -5.513784461152887451e-03
4.201296833420584131e-01 -6.516290726817058898e-03
4.249011732153356036e-01 -7.518796992481202590e-03
4.296726630886127940e-01 -1.398496240601503904e-01
4.344441529618900399e-01 -1.408521303258145618e-01
4.392156428351672304e-01 -1.428571428571428770e-01
4.439871327084444763e-01 -1.448621553884711921e-01
4.487586225817216667e-01 -1.478696741854636787e-01
4.535301124549988572e-01 -1.654135338345866235e-02
4.583016023282761031e-01 -1.954887218045114894e-02
4.630730922015532935e-01 -2.255639097744363553e-02
4.678445820748304840e-01 -2.456140350877195067e-02
4.726160719481077299e-01 -2.456140350877195067e-02
4.773875618213849203e-01 -2.355889724310777922e-02
4.821590516946621108e-01 -2.255639097744363553e-02
4.869305415679393567e-01 -2.255639097744363553e-02
4.917020314412165471e-01 -2.355889724310777922e-02
4.964735213144937931e-01 -2.456140350877195067e-02
5.012450111877709835e-01 -2.456140350877195067e-02
5.060165010610482295e-01 -2.255639097744363553e-02
5.107879909343253644e-01 -2.055137844611529263e-02
5.155594808076026103e-01 -1.954887218045114894e-02
5.203309706808798563e-01 -2.055137844611529263e-02
5.251024605541569912e-01 -1.428571428571428770e-01
5.298739504274342371e-01 -1.438596491228070207e-01
5.346454403007114831e-01 -1.438596491228070207e-01
5.394169301739886180e-01 -1.448621553884711921e-01
5.441884200472658639e-01 -1.448621553884711921e-01
5.489599099205431099e-01 -1.458646616541353636e-01
5.537313997938202448e-01 -1.468671679197995072e-01
5.585028896670974907e-01 -1.478696741854636787e-01
5.632743795403747367e-01 -1.468671679197995072e-01
5.680458694136519826e-01 -1.468671679197995072e-01
5.728173592869291175e-01 -1.468671679197995072e-01
5.775888491602063635e-01 -1.468671679197995072e-01
5.823603390334836094e-01 -1.478696741854636787e-01
5.871318289067607443e-01 1.097744360902255245e-01
5.919033187800379903e-01 1.097744360902255245e-01
5.966748086533152362e-01 -4.862155388471178785e-02
6.014462985265923711e-01 -5.062656641604010299e-02
6.062177883998696171e-01 -5.162907268170427444e-02
6.109892782731468630e-01 -5.162907268170427444e-02
6.157607681464239979e-01 -5.162907268170427444e-02
6.205322580197012439e-01 -5.062656641604010299e-02
6.253037478929784898e-01 -5.062656641604010299e-02
6.300752377662556247e-01 -5.062656641604010299e-02
6.348467276395328707e-01 -4.761904761904764416e-02
6.396182175128101166e-01 -4.260651629072684243e-02
6.443897073860872515e-01 -4.060150375939849954e-02
6.491611972593644975e-01 -4.060150375939849954e-02
6.539326871326417434e-01 -3.959899749373435585e-02
6.587041770059188783e-01 -3.959899749373435585e-02
6.634756668791961243e-01 -3.959899749373435585e-02
6.682471567524733702e-01 -3.859649122807018440e-02
6.730186466257506162e-01 -3.859649122807018440e-02
6.777901364990277511e-01 -3.358395989974938267e-02
6.825616263723049970e-01 -3.258145363408523898e-02
6.873331162455822430e-01 -3.358395989974938267e-02
6.921046061188593779e-01 -3.358395989974938267e-02
6.968760959921366238e-01 -3.358395989974938267e-02
7.016475858654138698e-01 -3.258145363408523898e-02
7.064190757386910047e-01 -3.157894736842106753e-02
7.111905656119682506e-01 -3.258145363408523898e-02
7.159620554852454966e-01 -3.358395989974938267e-02
7.207335453585226315e-01 -3.458646616541355412e-02
7.255050352317998774e-01 -3.558897243107769781e-02
7.302765251050771234e-01 -3.659147869674186926e-02
7.350480149783542583e-01 -3.659147869674186926e-02
7.398195048516315042e-01 -3.759398496240604071e-02
7.445909947249087502e-01 -3.759398496240604071e-02
7.493624845981858851e-01 1.097744360902255245e-01
7.541339744714631310e-01 1.087719298245614086e-01
7.589054643447403770e-01 1.087719298245614086e-01
7.636769542180176229e-01 1.087719298245614086e-01
7.684484440912947578e-01 1.087719298245614086e-01
7.732199339645720038e-01 1.087719298245614086e-01
7.779914238378492497e-01 1.097744360902255245e-01
7.827629137111263846e-01 1.097744360902255245e-01
7.875344035844036306e-01 1.097744360902255245e-01
7.923058934576808765e-01 1.107769423558896960e-01
7.970773833309580114e-01 1.107769423558896960e-01
8.018488732042352574e-01 1.107769423558896960e-01
8.066203630775125033e-01 1.117794486215538674e-01
8.113918529507896382e-01 1.117794486215538674e-01
8.161633428240668842e-01 1.117794486215538674e-01
8.209348326973441301e-01 1.117794486215538674e-01
8.257063225706212650e-01 1.117794486215538674e-01
8.304778124438985110e-01 1.107769423558896960e-01
8.352493023171757569e-01 1.107769423558896960e-01
8.400207921904528918e-01 1.107769423558896960e-01
8.447922820637301378e-01 1.107769423558896960e-01
8.495637719370073837e-01 1.117794486215538674e-01
8.543352618102845186e-01 1.117794486215538674e-01
8.591067516835617646e-01 1.117794486215538674e-01
8.638782415568390105e-01 1.127819548872180389e-01
8.686497314301162564e-01 -9.373433583959900339e-02
8.734212213033933914e-01 -9.473684210526317484e-02
8.781927111766706373e-01 -9.573934837092733241e-02
8.829642010499478832e-01 -9.573934837092733241e-02
8.877356909232250182e-01 -9.573934837092733241e-02
8.925071807965022641e-01 -9.774436090225564755e-02
8.972786706697795100e-01 -9.874686716791980512e-02
9.020501605430566450e-01 -5.964912280701756275e-02
9.068216504163338909e-01 -6.165413533834587789e-02
9.115931402896111369e-01 -6.265664160401004934e-02
