# X align relalign posterior
-6.725414976384228583e-01 -6.076819115201993471e-01 3.937816317603648475e-03 1.035751650621768327e+00
-6.677700077651456123e-01 -6.082662875651059231e-01 -1.418049600580173486e-03 1.041065605709351694e+00
-6.629985178918684774e-01 -6.088358552445638505e-01 -6.759107153315235816e-03 1.046759257679297228e+00
-6.582270280185912315e-01 -6.093766805641926965e-01 -1.207142234622132770e-02 1.052636274093652347e+00
-6.534555381453139855e-01 -6.098752884528289009e-01 -1.734152010813477807e-02 1.058458656222078353e+00
-6.486840482720367396e-01 -6.103182836003162581e-01 -2.255600512889938125e-02 1.063954406638300654e+00
-6.439125583987596046e-01 -6.106926806960163434e-01 -2.770189209787660145e-02 1.068832697140202459e+00
-6.391410685254823587e-01 -6.109856296115240282e-01 -3.276633088666153215e-02 1.072797367671812108e+00
-6.343695786522051128e-01 -6.111848378646245195e-01 -3.773702901303926938e-02 1.075566585544636578e+00
-6.295980887789279778e-01 -6.112782111556942510e-01 -4.260189217738613587e-02 1.076885104018518557e+00
-6.248265989056507319e-01 -6.112541840077948541e-01 -4.734935490276398484e-02 1.076544632659242939e+00
-6.200551090323734860e-01 -6.111015025576631565e-01 -5.196816332590953325e-02 1.074400990346584539e+00
-6.152836191590963510e-01 -6.108094471113135748e-01 -5.644759775283708647e-02 1.070397725090923124e+00
-6.105121292858191051e-01 -6.103677877749265068e-01 -6.077742828972726441e-02 1.064587130161194661e+00
-6.057406394125418592e-01 -6.097666933125774902e-01 -6.494782370065549371e-02 1.057157433920442369e+00
-6.009691495392647242e-01 -6.089969498845215767e-01 -6.894957014587671518e-02 1.048461868457366553e+00
-5.961976596659874783e-01 -6.080497995736909855e-01 -7.277390970832336992e-02 1.039034642282069321e+00
-5.914261697927102324e-01 -6.069171132819115577e-01 -7.641271328982118805e-02 1.029599698935170782e+00
-5.866546799194330974e-01 -6.055912059900002697e-01 -7.985829587118703499e-02 1.021043585045902979e+00
-5.818831900461558515e-01 -6.040651798469990341e-01 -8.310375960146304530e-02 1.014340824358498150e+00
-5.771117001728786056e-01 -6.023325168508716354e-01 -8.614258647861289253e-02 1.010401626007885412e+00
-5.723402102996014706e-01 -6.003873876392717968e-01 -8.896894714029018880e-02 1.009832479651904702e+00
-5.675687204263242247e-01 -5.982245905038234834e-01 -9.157763987811912143e-02 1.012593240123193628e+00
-5.627972305530469788e-01 -5.958395379792511548e-01 -9.396407722682403874e-02 1.017566418785897930e+00
-5.580257406797697328e-01 -5.932281551739723158e-01 -9.612418429482244564e-02 1.022104101068220139e+00
-5.532542508064925979e-01 -5.903870965776808477e-01 -9.805461557180811250e-02 1.021636877953810085e+00
-5.484827609332153520e-01 -5.873136570286375813e-01 -9.975266589604209200e-02 1.009514997249091550e+00
-5.437112710599381060e-01 -5.840056524534750215e-01 -1.012161511941567782e-01 9.772557605834261141e-01
-5.389397811866609711e-01 -5.804615020317134277e-01 -1.024434906456723193e-01 9.153809775722757669e-01
-5.341682913133837252e-01 -5.766803819293082611e-01 -1.034338604165443987e-01 8.149532051036457725e-01
-5.293968014401064792e-01 -5.726619394548555508e-01 -1.041869078153689343e-01 6.697293172390405003e-01
-5.246253115668293443e-01 -5.684064514139580693e-01 -1.047029096477485877e-01 4.785962238243702815e-01
-5.198538216935520984e-01 -5.639148142215364423e-01 -1.049827623286042066e-01 2.476085622238466399e-01
-5.150823318202748524e-01 -5.591884339262516157e-01 -1.050278719065966260e-01 -9.242683707502696855e-03
-5.103108419469977175e-01 -5.542293164883059786e-01 -1.048402443419281238e-01 -2.711321441370336260e-01
-5.055393520737204716e-01 -5.490400545460776272e-01 -1.044224722729770183e-01 -5.131507520663827204e-01
-5.007678622004432256e-01 -5.436237493225067885e-01 -1.037776569226834256e-01 -7.093673393759430956e-01
-4.959963723271660352e-01 -5.379839397220669284e-01 -1.029093371955207559e-01 -8.347167090938850675e-01
-4.912248824538888448e-01 -5.321247093892751412e-01 -1.018215967360061591e-01 -8.661969481444744545e-01
-4.864533925806116543e-01 -5.260507322091595439e-01 -1.005191094291677523e-01 -7.869288071505138316e-01
-4.816819027073344084e-01 -5.197669905123215583e-01 -9.900685760560701265e-02 -5.963738565047417284e-01
-4.769104128340572180e-01 -5.132789572738445383e-01 -9.729031424040718301e-02 -3.225598779215074208e-01
-4.721389229607799720e-01 -5.065925421784627236e-01 -9.537538901830261429e-02 -2.201040670158382895e-02
-4.673674330875027816e-01 -4.997140082010091411e-01 -9.326834491412622219e-02 2.448665067576208942e-01
-4.625959432142255912e-01 -4.926500647950716738e-01 -9.097589138146594534e-02 4.515981134567704780e-01
-4.578244533409483452e-01 -4.854076532003047673e-01 -8.850496965997628473e-02 6.196315514953211201e-01
-4.530529634676711548e-01 -4.779941209639942401e-01 -8.586292729694294801e-02 7.828041939146096473e-01
-4.482814735943939644e-01 -4.704171249175902458e-01 -8.305742112381614417e-02 9.314322720726398996e-01
-4.435099837211167184e-01 -4.626844698566106029e-01 -8.009625593611374716e-02 1.002345600111920199e+00
-4.387384938478395280e-01 -4.548043933326185728e-01 -7.698766928539890753e-02 9.367364607153479961e-01
