# X align relalign posterior
-1.159233464712698281e+00 -1.185074046921262170e+00 -2.584058220856388921e-02 4.560491552310846908e-01
-1.154461974839421146e+00 -1.180997028184149311e+00 -2.653505334472816557e-02 4.878919649587151186e-01
-1.149690484966144011e+00 -1.176812979600831310e+00 -2.712249463468729971e-02 4.865441825840221002e-01
-1.144918995092866654e+00 -1.172519231656548699e+00 -2.760023656368204570e-02 4.519806495404622426e-01
-1.140147505219589519e+00 -1.168113645948654744e+00 -2.796614072906522530e-02 3.896302770107773483e-01
-1.135376015346312384e+00 -1.163594336647728378e+00 -2.821832130141599393e-02 3.110148580930112150e-01
-1.130604525473035027e+00 -1.158959738907170189e+00 -2.835521343413516249e-02 2.329663595159914280e-01
-1.125833035599757892e+00 -1.154208279123585701e+00 -2.837524352382780890e-02 1.751133175865807745e-01
-1.121061545726480757e+00 -1.149339134407413754e+00 -2.827758868093299682e-02 1.558413240148797119e-01
-1.116290055853203400e+00 -1.144351616596253507e+00 -2.806156074305010684e-02 1.874788561493181405e-01
-1.111518565979926265e+00 -1.139245294296947986e+00 -2.772672831702172047e-02 2.720515086731469800e-01
-1.106747076106648908e+00 -1.134019984986868401e+00 -2.727290888021949300e-02 3.990127902888493949e-01
-1.101975586233371773e+00 -1.128676051255754542e+00 -2.670046502238276886e-02 5.460966675949326943e-01
-1.097204096360094638e+00 -1.123214031755543685e+00 -2.600993539544904642e-02 6.837586868476058788e-01
-1.092432606486817281e+00 -1.117634722541889003e+00 -2.520211605507172159e-02 7.826688970214518148e-01
-1.087661116613540147e+00 -1.111939553003342906e+00 -2.427843638980275998e-02 8.227087183191034159e-01
-1.082889626740263012e+00 -1.106129839376960522e+00 -2.324021263669751036e-02 8.009305615554079827e-01
-1.078118136866985655e+00 -1.100207499640852182e+00 -2.208936277386652769e-02 7.353325473771398224e-01
-1.073346646993708520e+00 -1.094174616586072846e+00 -2.082796959236432599e-02 6.617957942034112806e-01
-1.068575157120431385e+00 -1.088033767622931469e+00 -1.945861050250008439e-02 6.235339628777755161e-01
-1.063803667247154028e+00 -1.081787594195759095e+00 -1.798392694860506680e-02 6.556564442311975105e-01
-1.059032177373876893e+00 -1.075439344773873707e+00 -1.640716739999681373e-02 7.705120678166980097e-01
-1.054260687500599758e+00 -1.068992147390817271e+00 -1.473145989021751312e-02 9.503957385245745959e-01
-1.049489197627322401e+00 -1.062449701199995600e+00 -1.296050357267319875e-02 1.152187564293986277e+00
