# X true mean std 2std sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9 sample_10 sample_11 sample_12 sample_13 sample_14 sample_15 sample_16 sample_17 sample_18 sample_19 sample_20 sample_21 sample_22 sample_23 sample_24 sample_25 sample_26 sample_27 sample_28 sample_29
-1.489898989898989834e+00 2.689503581880818839e-01 -5.435706377029418945e-01 1.013343930244445801e+00 2.026687860488891602e+00 -9.644275903701782227e-01 -7.123759984970092773e-01 -1.251400828361511230e+00 -2.750406265258789062e-01 -3.709280490875244141e-01 -1.612675189971923828e-02 -1.983703851699829102e+00 -8.567880392074584961e-01 1.032508611679077148e+00 -1.238080501556396484e+00 -3.769366025924682617e+00 -3.769366025924682617e+00 -4.370337724685668945e-01 -7.150293588638305664e-01 9.949210882186889648e-01 9.949210882186889648e-01 -3.769366025924682617e+00 -3.602634668350219727e-01 -1.612675189971923828e-02 8.666925430297851562e-01 -2.131171226501464844e-01 -1.311066865921020508e+00 -5.681877136230468750e-01 -2.516021132469177246e-01 -9.644275903701782227e-01 -2.131171226501464844e-01 -2.810080051422119141e-01 -2.821475267410278320e+00 -9.644275903701782227e-01 -2.016563653945922852e+00
-1.439393939393939448e+00 3.855247599580131634e-01 -4.758677184581756592e-01 9.932086467742919922e-01 1.986417293548583984e+00 -8.969748020172119141e-01 -6.471033096313476562e-01 -1.202785849571228027e+00 -1.771841049194335938e-01 -2.995085716247558594e-01 4.609143733978271484e-02 -1.905608177185058594e+00 -7.866178750991821289e-01 1.063762426376342773e+00 -1.165327787399291992e+00 -3.609588861465454102e+00 -3.609588861465454102e+00 -3.766080141067504883e-01 -6.481090784072875977e-01 1.034534454345703125e+00 1.034534454345703125e+00 -3.609588861465454102e+00 -3.260782361030578613e-01 4.609143733978271484e-02 9.106220006942749023e-01 -1.631329059600830078e-01 -1.208270788192749023e+00 -4.860706329345703125e-01 -2.133473753929138184e-01 -8.969748020172119141e-01 -1.631329059600830078e-01 -2.135690450668334961e-01 -2.709790229797363281e+00 -8.969748020172119141e-01 -1.910279512405395508e+00
-1.388888888888888840e+00 4.751137561601386228e-01 -4.081647694110870361e-01 9.733314514160156250e-01 1.946662902832031250e+00 -8.295218944549560547e-01 -5.818303823471069336e-01 -1.154170751571655273e+00 -7.932734489440917969e-02 -2.280887365341186523e-01 1.083097457885742188e-01 -1.827512502670288086e+00 -7.164474725723266602e-01 1.095016360282897949e+00 -1.092574834823608398e+00 -3.449811697006225586e+00 -3.449811697006225586e+00 -3.161821365356445312e-01 -5.811886787414550781e-01 1.074148058891296387e+00 1.074148058891296387e+00 -3.449811697006225586e+00 -2.918928861618041992e-01 1.083097457885742188e-01 9.545514583587646484e-01 -1.131485700607299805e-01 -1.105474472045898438e+00 -4.039530754089355469e-01 -1.750925183296203613e-01 -8.295218944549560547e-01 -1.131485700607299805e-01 -1.461299657821655273e-01 -2.598105192184448242e+00 -8.295218944549560547e-01 -1.803995132446289062e+00
-1.338383838383838453e+00 5.400433766516916645e-01 -3.404615521430969238e-01 9.537293314933776855e-01 1.907458662986755371e+00 -7.620691061019897461e-01 -5.165575742721557617e-01 -1.105555772781372070e+00 1.852917671203613281e-02 -1.566690206527709961e-01 1.705278158187866211e-01 -1.749417066574096680e+00 -6.462771892547607422e-01 1.126270294189453125e+00 -1.019822120666503906e+00 -3.290034532546997070e+00 -3.290034532546997070e+00 -2.557563781738281250e-01 -5.142685174942016602e-01 1.113761425018310547e+00 1.113761425018310547e+00 -3.290034532546997070e+00 -2.577076554298400879e-01 1.705278158187866211e-01 9.984809160232543945e-01 -6.316435337066650391e-02 -1.002678632736206055e+00 -3.218359947204589844e-01 -1.368377804756164551e-01 -7.620691061019897461e-01 -6.316435337066650391e-02 -7.869100570678710938e-02 -2.486420154571533203e+00 -7.620691061019897461e-01 -1.697710990905761719e+00
-1.287878787878787845e+00 5.825680811404527759e-01 -2.727587819099426270e-01 9.344206452369689941e-01 1.868841290473937988e+00 -6.946164369583129883e-01 -4.512847661972045898e-01 -1.056940674781799316e+00 1.163856983184814453e-01 -8.524942398071289062e-02 2.327460050582885742e-01 -1.671321630477905273e+00 -5.761070251464843750e-01 1.157524108886718750e+00 -9.470692276954650879e-01 -3.130257368087768555e+00 -3.130257368087768555e+00 -1.953307390213012695e-01 -4.473482370376586914e-01 1.153374910354614258e+00 1.153374910354614258e+00 -3.130257368087768555e+00 -2.235224246978759766e-01 2.327460050582885742e-01 1.042410373687744141e+00 -1.318013668060302734e-02 -8.998825550079345703e-01 -2.397186756134033203e-01 -9.858298301696777344e-02 -6.946164369583129883e-01 -1.318013668060302734e-02 -1.125204563140869141e-02 -2.374735116958618164e+00 -6.946164369583129883e-01 -1.591426849365234375e+00
-1.237373737373737459e+00 6.048707591847501952e-01 -2.050556540489196777e-01 9.154228568077087402e-01 1.830845713615417480e+00 -6.271636486053466797e-01 -3.860119581222534180e-01 -1.008325695991516113e+00 2.142422199249267578e-01 -1.382982730865478516e-02 2.949640750885009766e-01 -1.593226194381713867e+00 -5.059367418289184570e-01 1.188777923583984375e+00 -8.743163943290710449e-01 -2.970480203628540039e+00 -2.970480203628540039e+00 -1.349049806594848633e-01 -3.804280757904052734e-01 1.192988276481628418e+00 1.192988276481628418e+00 -2.970480203628540039e+00 -1.893371343612670898e-01 2.949640750885009766e-01 1.086339712142944336e+00 3.680408000946044922e-02 -7.970864772796630859e-01 -1.576015949249267578e-01 -6.032824516296386719e-02 -6.271636486053466797e-01 3.680408000946044922e-02 5.618691444396972656e-02 -2.263050317764282227e+00 -6.271636486053466797e-01 -1.485142707824707031e+00
-1.186868686868686851e+00 6.090627301934579130e-01 -1.373528689146041870e-01 8.967558145523071289e-01 1.793511629104614258e+00 -5.597108602523803711e-01 -3.207392692565917969e-01 -9.597107172012329102e-01 3.120987415313720703e-01 5.758988857269287109e-02 3.571822643280029297e-01 -1.515130758285522461e+00 -4.357664585113525391e-01 1.220031857490539551e+00 -8.015636801719665527e-01 -2.810703039169311523e+00 -2.810703039169311523e+00 -7.447922229766845703e-02 -3.135079145431518555e-01 1.232601642608642578e+00 1.232601642608642578e+00 -2.810703039169311523e+00 -1.551519036293029785e-01 3.571822643280029297e-01 1.130269169807434082e+00 8.678829669952392578e-02 -6.942906379699707031e-01 -7.548439502716064453e-02 -2.207350730895996094e-02 -5.597108602523803711e-01 8.678829669952392578e-02 1.236257553100585938e-01 -2.151365280151367188e+00 -5.597108602523803711e-01 -1.378858566284179688e+00
-1.136363636363636465e+00 5.971837434259958943e-01 -6.965010613203048706e-02 8.784401416778564453e-01 1.756880283355712891e+00 -4.922580718994140625e-01 -2.554664611816406250e-01 -9.110956192016601562e-01 4.099552631378173828e-01 1.290094852447509766e-01 4.194003343582153320e-01 -1.437035083770751953e+00 -3.655962944030761719e-01 1.251285672187805176e+00 -7.288108468055725098e-01 -2.650925874710083008e+00 -2.650925874710083008e+00 -1.405346393585205078e-02 -2.465876340866088867e-01 1.272215127944946289e+00 1.272215127944946289e+00 -2.650925874710083008e+00 -1.209666728973388672e-01 4.194003343582153320e-01 1.174198627471923828e+00 1.367725133895874023e-01 -5.914945602416992188e-01 6.632804870605468750e-03 1.618129014968872070e-02 -4.922580718994140625e-01 1.367725133895874023e-01 1.910647153854370117e-01 -2.039680480957031250e+00 -4.922580718994140625e-01 -1.272574424743652344e+00
-1.085858585858585856e+00 5.712019779923320772e-01 -1.947205513715744019e-03 8.604994416236877441e-01 1.720998883247375488e+00 -4.248052835464477539e-01 -1.901936531066894531e-01 -8.624806404113769531e-01 5.078117847442626953e-01 2.004292011260986328e-01 4.816185235977172852e-01 -1.358939647674560547e+00 -2.954260110855102539e-01 1.282539606094360352e+00 -6.560580134391784668e-01 -2.491148948669433594e+00 -2.491148948669433594e+00 4.637229442596435547e-02 -1.796674728393554688e-01 1.311828613281250000e+00 1.311828613281250000e+00 -2.491148948669433594e+00 -8.678144216537475586e-02 4.816185235977172852e-01 1.218127965927124023e+00 1.867567300796508789e-01 -4.886984825134277344e-01 8.875000476837158203e-02 5.443602800369262695e-02 -4.248052835464477539e-01 1.867567300796508789e-01 2.585036754608154297e-01 -1.927995443344116211e+00 -4.248052835464477539e-01 -1.166290283203125000e+00
-1.035353535353535470e+00 5.330140428529803742e-01 6.575571000576019287e-02 8.429566025733947754e-01 1.685913205146789551e+00 -3.573524951934814453e-01 -1.249209642410278320e-01 -8.138656616210937500e-01 6.056680679321289062e-01 2.718487977981567383e-01 5.438365936279296875e-01 -1.280844211578369141e+00 -2.252558469772338867e-01 1.313793420791625977e+00 -5.833051800727844238e-01 -2.331371784210205078e+00 -2.331371784210205078e+00 1.067979335784912109e-01 -1.127471923828125000e-01 1.351441979408264160e+00 1.351441979408264160e+00 -2.331371784210205078e+00 -5.259615182876586914e-02 5.438365936279296875e-01 1.262057423591613770e+00 2.367409467697143555e-01 -3.859024047851562500e-01 1.708672046661376953e-01 9.269076585769653320e-02 -3.573524951934814453e-01 2.367409467697143555e-01 3.259426355361938477e-01 -1.816310644149780273e+00 -3.573524951934814453e-01 -1.060006141662597656e+00
