# Z qmu qsqrt 2qsqrt
8.157826633128311133e-01 -9.170884785198074596e-01 1.122846647448866482e-03 2.245693294897732964e-03
2.866903295596775481e-01 4.208596345136056960e-01 1.201178014502292824e-03 2.402356029004585648e-03
9.400098294601855198e-01 -3.658922204655946087e-01 7.255434638396053744e-03 1.451086927679210749e-02
8.009032931784607623e-01 -9.614305579317802275e-01 1.724916357857218417e-03 3.449832715714436834e-03
9.057871356758918913e-02 -6.526840980482291332e-01 8.056295356601756580e-03 1.611259071320351316e-02
1.005963001122574668e-01 -7.946105408501703549e-01 1.546818825531013925e-03 3.093637651062027850e-03
2.815642859150854216e-01 3.674714005006776696e-01 1.135338018117527069e-03 2.270676036235054138e-03
8.807920391406810490e-01 -7.336608666293951142e-01 1.191540093991753447e-03 2.383080187983506893e-03
2.115866245996345096e-01 -4.628006020209608495e-01 1.285701213236611516e-03 2.571402426473223032e-03
8.528304574921218295e-01 -8.291014037701206485e-01 1.280352903230917369e-03 2.560705806461834738e-03
8.252228417166305174e-01 -8.916388487897948245e-01 1.201302802684156568e-03 2.402605605368313135e-03
8.553926502646346242e-01 -8.228379718534866161e-01 1.130382089958078184e-03 2.260764179916156368e-03
8.029162411100845276e-01 -9.553550787678775080e-01 1.210880431762378353e-03 2.421760863524756707e-03
9.616254357266643127e-02 -7.372006253939430431e-01 1.241098153005118498e-03 2.482196306010236997e-03
4.647308479419520050e-02 4.311129189270774820e-01 1.510611918743752545e-03 3.021223837487505091e-03
9.663200004574763746e-02 -7.436202241485511122e-01 1.165429626849830017e-03 2.330859253699660034e-03
2.826666622925361194e-01 3.791262978433960762e-01 1.164951366099770949e-03 2.329902732199541898e-03
2.719204965905461790e-01 2.618000190456568066e-01 1.064953823483552825e-03 2.129907646967105651e-03
8.099154184475428897e-01 -9.341991711381761876e-01 1.113575434675187232e-03 2.227150869350374464e-03
3.059725264496808775e-02 7.700931951314182733e-01 1.514544487694475779e-03 3.029088975388951558e-03
2.876247134031169050e-01 4.304171729662928381e-01 1.070696441293966751e-03 2.141392882587933501e-03
2.960347153060006176e-01 5.125692900590825829e-01 1.090062364884531159e-03 2.180124729769062318e-03
2.973905390552039618e-01 5.252084345794274522e-01 1.079308722415455975e-03 2.158617444830911950e-03
1.264240861949331995e-01 -9.890761819585621728e-01 1.531899338835254754e-03 3.063798677670509507e-03
9.912153136525300723e-02 -7.764004646221902561e-01 1.142738849560119650e-03 2.285477699120239299e-03
8.182165742746252968e-02 -4.900051394856252407e-01 1.175564915262580171e-03 2.351129830525160343e-03
2.563673207067343474e-01 8.178611547967551409e-02 1.034085997202638081e-03 2.068171994405276163e-03
7.743223736328966149e-03 8.042555723146697089e-01 2.478637754019666264e-03 4.957275508039332527e-03
8.702809176618583331e-01 -7.779151033165820905e-01 1.059099395438225545e-03 2.118198790876451090e-03
8.510047998183767337e-01 -8.333324243400807019e-01 1.125996865062481051e-03 2.251993730124962102e-03
9.482899092006301656e-01 -3.179214299322036807e-01 2.719195975564221192e-03 5.438391951128442384e-03
9.804352170414459833e-01 -1.126248631215242685e-01 1.956301978821271131e-02 3.912603957642542263e-02
6.481209065450870277e-01 -6.594451084875114777e-01 2.293879456794048477e-02 4.587758913588096954e-02
8.767196333246769502e-01 -7.522211152838028658e-01 1.110782564850168854e-03 2.221565129700337708e-03
9.940784841051543141e-01 -2.100857408479737693e-03 1.630564243795674245e-02 3.261128487591348490e-02
9.039439898989923838e-01 -5.987357443515944899e-01 1.110080421102165558e-03 2.220160842204331117e-03
6.395757031766557965e-01 -6.092397057031641028e-01 3.325618408563002677e-03 6.651236817126005355e-03
6.587895690893936784e-01 -7.074928598461170948e-01 3.527602951484440624e-03 7.055205902968881247e-03
2.081128445516607639e-01 -5.056535458515060144e-01 1.211334325651010606e-03 2.422668651302021213e-03
6.351043937415659091e-01 -5.789068376380619441e-01 1.441057404593343132e-03 2.882114809186686263e-03
1.970693047472303061e-01 -6.392181457819368084e-01 1.216913323341326826e-03 2.433826646682653652e-03
2.198192288315964638e-01 -3.611176348507613154e-01 1.090842852947308773e-03 2.181685705894617546e-03
2.690795168425321182e-01 2.296135869734645119e-01 1.059806082494256594e-03 2.119612164988513188e-03
6.293185058088992569e-03 7.841798430300891409e-01 1.623021930658841974e-03 3.246043861317683948e-03
6.462263105363044158e-01 -6.491815722347397122e-01 1.189468295300607700e-03 2.378936590601215401e-03
2.198721900575603683e-01 -3.604289618006812912e-01 1.064860157248609255e-03 2.129720314497218509e-03
9.766043617369581098e-02 -7.575554463567665264e-01 1.098822572080037589e-03 2.197645144160075177e-03
2.808092232374138630e-01 3.593947202373938832e-01 1.059060779475926636e-03 2.118121558951853271e-03
5.359288328337791230e-01 2.395222038916312857e-01 7.643623047237454830e-03 1.528724609447490966e-02
2.963554242507160028e-02 7.839426666726988513e-01 1.282652067926179015e-03 2.565304135852358031e-03
3.042261793833931360e-01 5.864098974402771614e-01 1.082122944538817201e-03 2.164245889077634401e-03
4.825291562786931387e-01 6.336346836750258449e-01 1.378946981367470178e-03 2.757893962734940356e-03
9.644303089611518942e-01 -2.226055976311760443e-01 1.614677602676526215e-03 3.229355205353052431e-03
8.582521268705833872e-01 -8.154900594874526787e-01 1.078591965050341344e-03 2.157183930100682687e-03
8.446896289875358566e-01 -8.473776013547340558e-01 1.104907512660330011e-03 2.209815025320660022e-03
3.208797185592928702e-01 7.186872412943071664e-01 1.059447603823959836e-03 2.118895207647919672e-03
