# Z qmu qsqrt 2qsqrt
9.192115974215144814e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018928887614100512e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.901484552630662406e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.188142105572933094e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.954511046303925470e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.849344254000013371e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.600606345740594905e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.544663797045523757e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.436300137176710345e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.954511026866883494e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.134431309035588642e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.134429937837559077e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.901463015525273303e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245291227350205754e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.544661165625008936e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.600648224113611517e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.702965443246659882e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245346261046156144e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.954511047918914723e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.188153895064399501e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245256640528142444e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.436316785388999095e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.901439298985193149e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.134404168483187592e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.702835486888197636e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.124516862266540018e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.600669687230756200e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245329682782601144e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.702892707311274068e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999702766941621634e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018941527590443194e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.064605584424405171e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.766035219699859882e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018941943487568960e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.901441689780050237e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018930254820114886e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018939062955887376e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.849312282039615105e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.954511052189720655e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.064619350912072493e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.134432069452985470e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.544686566263676897e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
